timestamp_iso,day_label,query_label,kw_list,timeframe,geo,hl,tz,attempt_no,result,error_type,elapsed_sec,notes
2026-08-05T21:38:35,Day1,A_worldcup_daily,Hami Video|Netflix|Disney+,2022-11-01 2023-01-31,TW,zh-TW,-480,1,429,pytrends.exceptions.TooManyRequestsError,2.11,
2026-08-05T21:43:38,Day1,A_worldcup_daily,Hami Video|Netflix|Disney+,2022-11-01 2023-01-31,TW,zh-TW,-480,2,429,pytrends.exceptions.TooManyRequestsError,2.39,
2026-08-05T21:44:40,Day1,B_monthly_7.5yr,Hami Video|Netflix|Disney+,2019-01-01 2026-08-02,TW,zh-TW,-480,1,429,pytrends.exceptions.TooManyRequestsError,2.25,
2026-08-05T21:49:42,Day1,B_monthly_7.5yr,Hami Video|Netflix|Disney+,2019-01-01 2026-08-02,TW,zh-TW,-480,2,429,pytrends.exceptions.TooManyRequestsError,1.75,
2026-08-05T21:54:19,Day2,MOD_control,MOD|中華電信 MOD|Hami Video,2021-08-03 2026-08-02,TW,zh-TW,-480,1,429,pytrends.exceptions.TooManyRequestsError,1.61,interval<24h_from_Day1
2026-08-05T21:59:21,Day2,MOD_control,MOD|中華電信 MOD|Hami Video,2021-08-03 2026-08-02,TW,zh-TW,-480,2,429,pytrends.exceptions.TooManyRequestsError,1.95,interval<24h_from_Day1
2026-08-05T22:00:23,Day2,groupB_event,世界盃|WBC|經典賽,2021-08-03 2026-08-02,TW,zh-TW,-480,1,429,pytrends.exceptions.TooManyRequestsError,1.89,interval<24h_from_Day1
2026-08-05T22:05:25,Day2,groupB_event,世界盃|WBC|經典賽,2021-08-03 2026-08-02,TW,zh-TW,-480,2,429,pytrends.exceptions.TooManyRequestsError,1.8,interval<24h_from_Day1
